0.33,0.038,1.585,0.023,4.256,4.183,4.653,3.843,3.058,2.822,2.951,3.538,5,5,0.317,0.035
0.317,0.035,1.552,0.022,4.253,4.185,4.653,3.787,3.019,2.79,2.921,3.508,5,5,0.317,0.035
0.317,0.035,1.52,0.021,4.249,4.187,4.654,3.733,2.981,2.759,2.892,3.479,5,5,0.304,0.038
0.304,0.038,1.489,0.02,4.246,4.189,4.655,3.68,2.944,2.728,2.863,3.45,5,5,0.304,0.038
0.304,0.038,1.458,0.02,4.242,4.191,4.657,3.627,2.908,2.698,2.835,3.422,5,5,0.292,0.035
0.292,0.035,1.428,0.019,4.239,4.193,4.659,3.576,2.872,2.668,2.808,3.395,5,5,0.292,0.035
0.292,0.035,1.399,0.018,4.185,4.145,4.661,3.527,2.837,2.639,2.781,3.368,5,5,0.28,0.032
0.28,0.032,1.37,0.017,4.182,4.147,4.663,3.479,2.804,2.611,2.755,3.341,5,5,0.28,0.032
0.28,0.032,1.342,0.017,4.18,4.149,4.665,3.433,2.771,2.584,2.729,3.314,5,5,0.268,0.028
0.268,0.028,1.314,0.016,4.177,4.151,4.667,3.389,2.739,2.557,2.703,3.288,4.886,5,0.268,0.028
0.268,0.028,1.287,0.016,4.175,4.153,4.668,3.345,2.707,2.53,2.678,3.261,5,5,0.257,0.019
0.257,0.019,1.26,0.015,4.173,4.154,4.669,3.305,2.677,2.504,2.653,3.234,4.844,5,0.257,0.019
0.257,0.019,1.234,0.015,4.172,4.125,4.669,3.285,2.663,2.492,2.64,3.22,4.863,5,0.247,0.016
0.247,0.016,1.209,0.014,4.17,4.12,4.668,3.228,2.62,2.454,2.603,3.179,4.801,5,0.247,0.016
0.247,0.016,1.184,0.014,4.169,4.116,4.667,3.192,2.593,2.43,2.579,3.152,4.742,5,0.237,0.032
0.237,0.032,1.159,0.014,4.167,4.113,4.668,3.154,2.565,2.406,2.555,3.127,4.705,5,0.237,0.032
0.237,0.032,1.136,0.013,4.165,4.111,4.671,3.116,2.537,2.383,2.534,3.105,4.715,5,0.227,0.016
0.227,0.016,1.112,0.013,4.112,4.109,4.673,3.08,2.511,2.36,2.511,3.081,4.68,5,0.227,0.016
0.227,0.016,1.089,0.012,4.111,4.106,4.615,3.046,2.486,2.337,2.489,3.056,4.627,5,0.218,0.013
0.218,0.013,1.067,0.012,4.11,4.103,4.557,3.014,2.498,2.35,2.504,3.031,4.634,5,0.218,0.013
0.218,0.013,1.045,0.012,4.109,4.1,4.556,2.983,2.444,2.3,2.452,3.006,4.595,5,0.209,0.028
0.209,0.028,1.023,0.012,4.108,4.098,4.499,2.951,2.442,2.3,2.454,2.984,4.561,5,0.209,0.028
0.209,0.028,1.002,0.011,4.106,4.097,4.503,2.917,2.439,2.3,2.456,2.964,4.53,5,0.2,0.013
0.2,0.013,0.981,0.01,4.104,4.095,4.388,2.886,2.385,2.25,2.405,2.942,4.541,5,0.2,0.013
0.2,0.013,0.961,0.01,4.104,4.093,4.271,2.858,2.384,2.25,2.406,2.92,4.506,5,0.192,0.022
0.192,0.022,0.941,0.01,4.102,4.091,4.272,2.829,2.329,2.2,2.354,2.898,4.473,5,0.192,0.022
0.192,0.022,0.922,0.01,4.101,4.09,4.216,2.799,2.327,2.2,2.356,2.879,4.443,5,0.184,0.025
0.184,0.025,0.903,0.009,4.099,4.088,4.218,2.77,2.325,2.2,2.358,2.86,4.414,5,0.184,0.025
0.184,0.025,0.884,0.008,4.098,4.088,4.104,2.741,2.271,2.151,2.307,2.842,4.386,5,0.177,0.009
0.177,0.009,0.866,0.008,4.097,4.086,4.047,2.714,2.269,2.151,2.308,2.823,4.413,5,0.177,0.009
0.177,0.009,0.848,0.008,4.096,4.084,4.046,2.69,2.269,2.151,2.309,2.802,4.38,5,0.17,0.006
0.17,0.006,0.831,0.008,4.096,4.082,3.986,2.666,2.215,2.101,2.256,2.781,4.347,5,0.17,0.006
0.17,0.006,0.814,0.007,4.045,4.08,3.926,2.643,2.215,2.101,2.257,2.76,4.267,5,0.163,0.022
0.163,0.022,0.797,0.007,4.044,4.079,3.927,2.619,2.214,2.101,2.258,2.741,4.237,5,0.163,0.022
0.163,0.022,0.78,0.007,4.043,4.078,3.929,2.594,2.159,2.051,2.206,2.725,4.268,5,0.156,0.006
0.156,0.006,0.764,0.006,4.042,4.077,3.841,2.571,2.158,2.051,2.207,2.708,4.239,5,0.156,0.006
0.156,0.006,0.749,0.006,4.041,4.075,3.752,2.55,2.158,2.051,2.208,2.688,4.209,5,0.15,0.003
0.15,0.003,0.733,0.006,4.041,4.074,3.723,2.53,2.105,2.001,2.154,2.669,4.178,5,0.15,0.003
0.15,0.003,0.718,0.006,4.041,4.072,3.694,2.511,2.105,2.001,2.155,2.65,4.148,5,0.144,0.025
0.144,0.025,0.703,0.006,4.027,4.071,3.664,2.489,2.104,2.001,2.156,2.634,4.122,5,0.144,0.025
0.144,0.025,0.689,0.006,4.039,4.071,3.575,2.466,2.05,1.951,2.104,2.621,4.1,5,0.138,0
0.138,0,0.674,0.005,4.047,4.07,3.546,2.446,2.049,1.951,2.105,2.605,4.074,5,0.138,0
0.138,0,0.674,0.005,4.046,4.068,3.521,2.429,2.049,1.951,2.105,2.587,4.045,5,0.132,0.022
0.132,0.022,0.647,0.005,4.051,4.067,3.494,2.41,2.048,1.951,2.106,2.571,4.019,5,0.132,0.022
0.132,0.022,0.634,0.004,4.014,4.067,3.467,2.389,1.994,1.902,2.054,2.559,3.998,5,0.127,0
0.127,0,0.62,0.004,4.02,4.067,3.441,2.371,1.993,1.902,2.055,2.544,3.974,5,0.127,0
0.127,0,0.608,0.004,4.014,4.065,3.418,2.355,1.993,1.902,2.055,2.527,3.947,5,0.122,0.022
0.122,0.022,0.595,0.004,4.018,4.064,3.394,2.338,1.993,1.902,2.056,2.513,3.924,5,0.122,0.022
0.122,0.022,0.583,0.003,4,4.065,3.369,2.319,1.939,1.852,2.004,2.501,3.904,5,0.117,0
0.117,0,0.571,0.003,3.998,4.064,3.346,2.302,1.938,1.852,2.005,2.488,3.934,5,0.117,0
0.117,0,0.559,0.003,3.997,4.062,3.324,2.287,1.938,1.852,2.005,2.472,3.909,5,0.112,0.022
0.112,0.022,0.547,0.003,3.995,4.062,3.302,2.271,1.938,1.852,2.006,2.459,3.888,5,0.112,0.022
0.112,0.022,0.536,0.002,3.992,4.063,3.28,2.253,1.884,1.802,1.953,2.449,3.87,5,0.107,-0.006
0.107,-0.006,0.525,0.002,3.99,4.062,3.259,2.238,1.883,1.802,1.954,2.436,3.905,5,0.107,-0.006
0.107,-0.006,0.514,0.002,3.989,4.06,3.24,2.226,1.884,1.802,1.953,2.42,3.824,5,0.103,0.022
0.103,0.022,0.504,0.002,3.988,4.059,3.22,2.212,1.883,1.802,1.954,2.408,3.86,5,0.103,0.022
0.103,0.022,0.493,0.001,3.985,4.06,3.2,2.195,1.882,1.803,1.956,2.399,3.844,5,0.099,-0.013
0.099,-0.013,5.634,0.214,2.05,2.182,2.677,5,3.34,3.341,3.8,5,1.117,1.05,0.099,-0.013
0.099,-0.013,5.626,0.215,2.05,2.181,2.674,5,3.331,3.33,3.786,5,1.118,1.05,0,0
0,0,5.619,0.215,2.05,2.18,2.673,5,3.326,3.325,3.779,5,1.118,1.05,0,0
0,0,5.619,0.215,2.05,2.18,2.673,5,3.326,3.325,3.779,5,1.118,1.05,0.4,0.054
0.4,0.054,5.619,0.215,2,2.129,2.614,5,3.305,3.306,3.761,5,1.17,1.1,0.4,0.054
0.4,0.054,5.588,0.215,2.05,2.187,2.691,5,3.261,3.269,3.727,5,1.115,1.05,0.408,0.107
0.408,0.107,5.556,0.215,2.05,2.194,2.71,5,3.216,3.232,3.698,5,1.112,1.05,0.408,0.107
0.408,0.107,5.525,0.213,2.051,2.203,2.735,5,3.169,3.198,3.674,5,1.107,1.05,0.431,0.161
0.431,0.161,5.493,0.211,2.052,2.215,2.704,5,3.121,3.164,3.655,5,1.103,1.051,0.431,0.161
0.431,0.161,5.459,0.207,2.053,2.229,2.747,5,3.071,3.131,3.642,5,1.097,1.052,0.477,0.215
0.477,0.215,5.424,0.204,2.056,2.248,2.8,5,3.019,3.099,5,5,1.091,1.053,0.477,0.215
0.477,0.215,5.386,0.199,2.059,2.27,2.828,5,2.966,3.067,5,5,1.085,1.055,0.5,0.268
0.5,0.268,5.347,0.193,2.065,2.297,2.869,5,2.912,3.038,5,5,1.078,1.058,0.5,0.268
0.5,0.268,5.306,0.187,2.072,2.33,5,5,2.859,3.012,5,5,1.072,1.061,0.501,0.259
0.501,0.259,5.264,0.18,2.081,2.364,5,5,2.809,2.987,5,5,1.067,1.066,0.501,0.259
0.501,0.259,5.222,0.173,2.091,2.401,5,5,2.76,2.963,5,5,1.062,1.071,0.503,0.249
0.503,0.249,5.179,0.166,2.102,2.44,5,5,2.713,2.94,5,5,1.058,1.077,0.503,0.249
0.503,0.249,5.135,0.16,2.167,2.492,5,5,2.669,2.919,5,5,1.005,1.032,0.501,0.234
0.501,0.234,5.091,0.154,2.181,2.55,5,2.697,2.625,2.898,5,5,1.003,1.038,0.501,0.234
0.501,0.234,5.047,0.148,2.196,2.612,5,2.632,2.584,2.878,5,5,5,1.046,0.502,0.224
0.502,0.224,5.002,0.142,2.264,2.677,5,2.57,2.543,2.858,5,5,5,1.001,0.502,0.224
0.502,0.224,4.956,0.136,2.282,5,5,2.51,2.504,2.839,5,5,5,1.008,0.503,0.215
0.503,0.215,4.911,0.13,2.3,5,5,2.453,2.466,2.82,5,5,5,1.016,0.503,0.215
0.503,0.215,4.864,0.124,2.374,5,5,2.398,2.429,2.802,5,5,5,0.971,0.5,0.205
0.5,0.205,4.818,0.119,2.364,5,5,2.345,2.392,2.785,5,5,5,0.98,0.5,0.205
0.5,0.205,4.771,0.113,2.408,5,5,2.293,2.357,2.768,5,5,5,0.989,0.5,0.196
0.5,0.196,4.724,0.108,2.453,5,5,2.244,2.323,2.751,5,5,5,0.942,0.5,0.196
0.5,0.196,4.677,0.103,2.502,5,5,2.196,2.289,2.735,5,5,5,0.952,0.5,0.186
0.5,0.186,4.63,0.098,2.552,5,2.319,2.149,2.256,2.718,5,5,5,0.904,0.5,0.186
0.5,0.186,4.582,0.093,2.605,5,2.255,2.104,2.223,2.702,5,5,5,0.914,0.5,0.177
0.5,0.177,4.534,0.088,5,5,2.193,2.06,2.191,5,5,5,5,0.981,0.5,0.177
0.5,0.177,4.486,0.083,5,5,2.134,2.017,2.159,5,5,5,5,1.049,0.503,0.161
0.503,0.161,4.437,0.079,5,5,2.076,1.975,2.127,5,5,5,5,1.119,0.503,0.161
0.503,0.161,4.389,0.074,5,5,2.021,1.933,2.095,5,5,5,5,1.13,0.502,0.158
0.502,0.158,4.34,0.07,5,5,1.968,1.904,2.076,5,5,5,5,1.202,0.502,0.158
0.502,0.158,4.291,0.066,5,5,1.916,1.856,2.035,5,5,5,5,1.276,0.5,0.142
0.5,0.142,4.242,0.062,5,5,1.866,1.859,2.05,5,5,5,5,1.228,0.5,0.142
0.5,0.142,4.192,0.058,5,5,1.853,1.811,2.008,5,5,4.864,5,1.303,0.502,0.12
0.502,0.12,4.143,0.054,5,2.056,1.796,1.763,1.965,5,5,4.83,5,1.379,0.502,0.12
0.502,0.12,4.094,0.051,5,1.993,1.74,1.716,1.921,5,5,4.797,5,1.454,0.501,0.142
0.501,0.142,4.044,0.048,5,1.93,1.684,1.668,1.878,5,5,4.764,5,1.47,0.501,0.142
0.501,0.142,3.995,0.044,5,1.868,1.679,1.672,1.892,5,5,4.732,5,1.486,0.459,0.133
0.459,0.133,3.945,0.04,5,1.811,1.624,1.625,1.849,5,5,4.701,5,1.504,0.459,0.133
0.459,0.133,3.899,0.036,5,1.757,1.57,1.578,1.806,5,5,4.672,5,1.587,0.456,0.161
0.456,0.161,3.854,0.032,5,1.704,1.566,1.583,1.822,5,4.888,4.643,5,1.54,0.456,0.161
0.456,0.161,3.809,0.027,5,1.651,1.513,1.537,1.781,5,4.831,4.616,5,1.563,0.478,0.114
0.478,0.114,3.763,0.023,5,1.621,1.46,1.491,1.716,5,4.778,4.587,5,1.652,0.478,0.114
0.478,0.114,3.715,0.019,1.973,1.557,1.408,1.443,1.687,5,4.728,4.558,5,1.67,0.456,0.117
0.456,0.117,3.668,0.016,1.928,1.548,1.406,1.448,1.66,5,4.679,4.529,5,1.689,0.456,0.117
0.456,0.117,3.622,0.012,1.871,1.485,1.354,1.4,1.634,5,4.631,4.501,5,1.756,0.479,0.069
0.479,0.069,3.577,0.009,1.808,1.424,1.303,1.352,1.604,5,4.586,4.472,5,5,0.479,0.069
0.479,0.069,3.529,0.007,1.75,1.419,1.303,1.355,1.571,5,4.542,4.441,5,5,0.479,0.047
0.479,0.047,3.481,0.004,1.722,1.363,1.252,1.304,1.555,5,4.521,4.425,4.913,5,0.479,0.047
0.479,0.047,3.433,0.003,1.643,1.359,1.252,1.307,1.501,5,4.459,4.376,4.873,5,0.502,0.032
0.502,0.032,3.385,0.002,1.591,1.302,1.201,1.256,1.464,5,4.419,4.342,4.842,5,0.502,0.032
0.502,0.032,3.335,0.001,1.564,1.246,1.151,1.205,1.424,5,4.378,4.307,4.808,5,0.503,0.035
0.503,0.035,3.285,0,1.491,1.19,1.101,1.154,1.385,5,4.337,4.271,4.775,5,0.503,0.035
0.503,0.035,3.234,-0.002,1.487,1.189,1.101,1.155,1.346,5,4.295,4.236,4.742,5,0.503,0.019
0.503,0.019,3.184,-0.003,1.415,1.133,1.051,1.103,1.306,5,4.255,4.2,4.706,5,0.503,0.019
0.503,0.019,3.134,-0.003,1.346,1.079,1.001,1.051,1.265,4.862,4.215,4.163,4.669,5,0.479,0.041
0.479,0.041,3.084,-0.004,1.342,1.077,1.001,1.052,1.226,4.81,4.175,4.128,4.635,5,0.479,0.041
0.479,0.041,3.036,-0.005,1.27,1.022,0.95,1.001,5,4.756,4.135,4.094,4.605,5,0.456,0.063
0.456,0.063,2.988,-0.007,1.265,1.02,0.95,1.003,5,4.699,4.095,4.062,4.578,5,0.456,0.063
0.456,0.063,2.942,-0.009,1.191,0.964,0.9,0.922,5,4.642,4.055,4.031,4.554,5,0.455,0.066
0.455,0.066,2.897,-0.011,1.119,0.908,0.85,0.901,5,4.584,4.015,4.001,4.531,5,0.455,0.066
0.455,0.066,2.851,-0.013,1.113,0.906,0.85,0.903,5,4.526,3.975,3.97,4.509,5,0.455,0.063
0.455,0.063,2.806,-0.016,1.042,0.85,0.8,0.852,5,4.469,3.935,3.939,4.485,5,0.455,0.063
0.455,0.063,2.76,-0.018,1.036,0.848,0.8,0.854,5,4.413,3.895,3.908,4.461,5,0.454,0.06
0.454,0.06,2.715,-0.02,0.966,0.794,0.75,0.803,5,4.357,3.856,3.877,4.437,5,0.454,0.06
0.454,0.06,2.67,-0.023,0.898,0.739,0.7,0.751,5,4.303,3.816,3.846,4.412,5,0.43,0.063
0.43,0.063,2.624,-0.025,0.893,0.738,0.7,0.753,5,4.249,3.778,3.815,4.388,5,0.43,0.063
0.43,0.063,2.581,-0.027,0.825,0.684,0.65,0.701,4.965,4.196,3.741,3.786,4.365,5,0.429,0.066
